,Age_woe,Housing_woe,Job_woe,Purpose_woe,Credit amount_woe,Checking account_woe,Duration_woe,Sex_woe,Saving accounts_woe
983,-0.1102126901844178,0.0141160706638427,-0.004525137531573,-0.0667139743757384,0.3418615561468183,0.0235601131577185,-0.1355161335516322,0.0197191450804302,-0.0958931246488419
764,-0.1102126901844178,0.0141160706638427,-0.004525137531573,-0.0667139743757384,0.2390041707071107,0.0235601131577185,0.1505318730778061,0.0197191450804302,0.4087015742726689
561,-0.1102126901844178,0.0415283661414787,0.0206567916563938,-0.0179976131725481,-0.0605123593916731,0.0235601131577185,0.1505318730778061,0.0197191450804302,-0.0958931246488419
399,-0.4448116824239503,0.0141160706638427,0.0206567916563938,-0.0179976131725481,-0.0605123593916731,0.0235601131577185,0.1505318730778061,-0.0444825105145674,0.4087015742726689
475,-0.1102126901844178,0.0415283661414787,-0.004525137531573,0.0519093351604982,0.2390041707071107,0.0235601131577185,-0.0400730545511518,-0.0444825105145674,-0.0958931246488419
198,0.0221964378419868,-0.168964067619172,-0.004525137531573,-0.0667139743757384,0.2390041707071107,-0.0328318932945921,0.1505318730778061,0.0197191450804302,-0.0958931246488419
437,0.0221964378419868,0.0141160706638427,-0.004525137531573,-0.0667139743757384,-0.0605123593916731,0.0235601131577185,0.1505318730778061,-0.0444825105145674,0.4087015742726689
506,0.0221964378419868,0.0141160706638427,-0.004525137531573,-0.0667139743757384,-0.0605123593916731,-0.1145699955533733,-0.3355372674449877,0.0197191450804302,0.1153902147399341
980,0.3527906266790087,0.0141160706638427,-0.004525137531573,0.0519093351604982,0.3418615561468183,-0.0328318932945921,-0.1355161335516322,0.0197191450804302,-0.0958931246488419
49,-0.1102126901844178,0.0141160706638427,-0.004525137531573,-0.0179976131725481,-0.0605123593916731,0.0235601131577185,0.0976847246618406,-0.0444825105145674,0.4087015742726689
938,-0.4448116824239503,-0.168964067619172,-0.004525137531573,0.1294419681955844,-0.6007464840447101,-0.0328318932945921,0.0335601964923016,0.0197191450804302,-0.0958931246488419
799,0.0221964378419868,0.0141160706638427,0.0206567916563938,-0.0667139743757384,-0.0605123593916731,-0.0328318932945921,-0.064991477236194,0.0197191450804302,-0.0958931246488419
396,-0.2327921091531446,-0.168964067619172,-0.0119021775844555,0.0519093351604982,0.2390041707071107,0.0235601131577185,0.0976847246618406,-0.0444825105145674,-0.0958931246488419
199,-0.4448116824239503,0.0141160706638427,-0.0119021775844555,0.0519093351604982,-0.152156949302791,-0.0328318932945921,-0.0400730545511518,0.0197191450804302,-0.0958931246488419
